Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33
0.391889165,0.620495943,6,0.746329341,0.764358054,5,0.979673625,0.39036556,4,0.562110139,0.907334698,2,0.543051006,0.103109051,3,0.94108871,0.199212479,2,0.274345381,0.789016408,1,0.968814438,0.857260035,3,0.599985,0.551034922,9,0.689264689,0.552863504,4,0.083855002,0.974405628,0
0.621295776,0.528211253,9,0.113916297,0.719528712,1,0.766192809,0.129348522,4,0.66517352,0.400437923,7,0.114689927,0.335221411,4,0.219508273,0.619477225,7,0.030932051,0.156239271,4,0.761623783,0.523718189,2,0.215137883,0.153735454,2,0.85799567,0.335629804,1,0.337046097,0.733879309,0
0.257382541,0.426509004,6,0.648938195,0.512374089,7,0.283965256,0.435345068,8,0.553517199,0.537154896,6,0.561145786,0.260652806,7,0.925948652,0.01722286,4,0.056333667,0.878698921,1,0.918905351,0.835726904,3,0.025463166,0.049737866,7,0.956027647,0.580605054,9,0.642283845,0.635554424,0
0.868254216,0.880757292,6,0.096024142,0.247091927,2,0.011309356,0.614713237,2,0.337910856,0.182069486,8,0.864792276,0.055082566,1,0.822823364,0.523571898,4,0.95944835,0.73109118,5,0.488976638,0.531044902,2,0.846674369,0.216269262,1,0.288799412,0.068250659,6,0.601796751,0.626744995,0
0.921540767,0.97745478,6,0.350546687,0.418460344,6,0.911968202,0.760941958,4,0.496789407,0.748399168,3,0.544117571,0.877047611,8,0.797237896,0.673046379,8,0.811862092,0.287885089,1,0.24832683,0.673688207,7,0.105682464,0.808381189,4,0.448402427,0.618076773,3,0.884999357,0.470980161,0
0.231784554,0.414164806,7,0.267311533,0.454639317,6,0.588449566,0.371988406,7,0.550693359,0.133997356,8,0.161407208,0.768843716,5,0.477161192,0.10267014,7,0.946799356,0.571743278,7,0.290396999,0.871464813,8,0.125515037,0.343873519,5,0.813951848,0.404585167,1,0.456331422,0.34442874,0
0.892846143,0.489834114,4,0.139496412,0.106220408,5,0.33345059,0.504609502,8,0.309934342,0.902527432,2,0.23604255,0.299095776,4,0.129645369,0.559712528,2,0.219995988,0.517863447,2,0.953775533,0.355740132,9,0.082932066,0.137157932,8,0.286547586,0.061247213,7,0.739750359,0.060856999,0
0.464842501,0.32480388,2,0.397951032,0.244330951,9,0.021797034,0.808222792,9,0.486786656,0.840013659,8,0.440990607,0.282076274,1,0.273649491,0.882166959,9,0.31792044,0.896143938,2,0.921249199,0.603839237,2,0.359655215,0.529415591,5,0.796436216,0.46825588,9,0.723780522,0.257708678,0
0.134052311,0.782977208,2,0.421475651,0.254875068,7,0.002752381,0.384843982,2,0.716739749,0.086839695,1,0.527319029,0.271744195,7,0.875583426,0.724358897,6,0.326901407,0.224298851,7,0.813239731,0.672039704,5,0.470449701,0.234213271,4,0.920175163,0.007849001,2,0.22291558,0.750335163,0
0.191481464,0.200735703,4,0.62988052,0.66663591,7,0.469822806,0.683530545,3,0.280460949,0.27529103,7,0.75052391,0.524091103,2,0.799553917,0.313684548,8,0.217544151,0.816198032,8,0.857660798,0.809147348,2,0.326959507,0.419436022,3,0.338771333,0.88070296,4,0.194709743,0.451519064,0
